date current wind salinity temperature
2011-06-25 0.24482419 9.280886 35.52179 21.759058
2011-06-26 0.31664905 10.02837 35.52619 21.763466
2011-06-27 0.33704826 9.01413 35.52899 21.819183
2011-06-28 0.390109 11.10816 35.533546 21.823017
2011-06-29 0.4720532 12.440138 35.53566 21.859299
2011-06-30 0.5856653 13.093818 35.54073 21.994509
2011-07-01 0.51054054 10.819569 35.55214 22.129427
2011-07-02 0.42680237 8.926972 35.558838 22.124569
2011-07-03 0.41785643 6.224362 35.564312 22.09219
2011-07-04 0.39394835 2.6973011 35.566986 22.094002
2011-07-05 0.35465878 4.290062 35.56953 22.093294
2011-07-06 0.33200535 5.0630164 35.574753 22.035566
2011-07-07 0.2978009 3.2509732 35.576103 22.019466
2011-07-08 0.29521382 7.3780184 35.58213 21.907103
2011-07-09 0.2842736 5.8227224 35.58745 21.84432
2011-07-10 0.32587862 7.4565625 35.596687 21.719128
2011-07-11 0.35161492 8.694449 35.60961 21.57246
2011-07-12 0.38086647 6.409492 35.615273 21.482094
2011-07-13 0.38543057 4.317258 35.611107 21.499609
2011-07-14 0.39963576 5.173191 35.611355 21.486551
2011-07-15 0.47343266 10.656024 35.616776 21.369759
2011-07-16 0.5113924 9.637788 35.588863 21.305206
2011-07-17 0.39925408 6.8241596 35.584705 21.328802
2011-07-18 0.36810395 5.5852313 35.58992 21.331244
2011-07-19 0.3221064 6.920219 35.595127 21.300924
2011-07-20 0.2913687 9.502819 35.610306 21.180326
2011-07-21 0.26079288 8.654746 35.62276 21.111313
2011-07-22 0.24626829 7.9664383 35.63712 21.019455
2011-07-23 0.19849923 7.1891484 35.642975 20.994213
2011-07-24 0.23412278 6.483606 35.649693 20.914543
2011-07-25 0.2712877 3.296542 35.637215 20.994446
2011-07-26 0.31594488 2.6094038 35.635826 21.098017
2011-07-27 0.32708427 3.7169688 35.64486 21.087597
2011-07-28 0.35293344 7.744316 35.654537 20.994297
2011-07-29 0.3858539 8.1810255 35.658623 20.935192
2011-07-30 0.41341236 8.688383 35.65458 20.924047
2011-07-31 0.44592053 7.678778 35.647354 20.917583
2011-08-01 0.4520052 6.7518864 35.648174 20.884342
2011-08-02 0.44517988 7.2968283 35.65208 20.83199
2011-08-03 0.41340214 8.258985 35.64941 20.77834
2011-08-04 0.36654007 9.250982 35.650364 20.75867
2011-08-05 0.31101587 8.61021 35.653973 20.771252
2011-08-06 0.28931257 5.930637 35.651318 20.93154
2011-08-07 0.30232918 2.773872 35.649544 21.051447
2011-08-08 0.31780815 5.731662 35.653618 21.043682
2011-08-09 0.31221816 5.1540546 35.662453 20.937721
2011-08-10 0.36362973 5.3135223 35.66821 20.890434
2011-08-11 0.39689717 9.822076 35.69107 20.775755
2011-08-12 0.4094431 7.204895 35.718422 20.624205
2011-08-13 0.4107012 5.9885354 35.712997 20.596678
2011-08-14 0.40433466 6.2942734 35.723423 20.567043
2011-08-15 0.38928175 6.3831067 35.737545 20.56403
2011-08-16 0.37261325 4.6641574 35.724483 20.632013
2011-08-17 0.3473473 4.306917 35.697823 20.750923
2011-08-18 0.31781444 5.3788257 35.689823 20.794592
2011-08-19 0.2556939 5.167043 35.702488 20.739126
2011-08-20 0.20924094 6.1192417 35.69706 20.731653
2011-08-21 0.23302118 11.801175 35.6938 20.705185
2011-08-22 0.36385956 13.724432 35.68051 20.67815
2011-08-23 0.30843157 10.51346 35.678528 20.966562
2011-08-24 0.3445596 12.349303 35.692585 21.119219
2011-08-25 0.3841986 10.716535 35.69834 21.137966
2011-08-26 0.38559416 7.930106 35.68779 21.18213
2011-08-27 0.43800452 6.8151636 35.690414 21.226152
2011-08-28 0.45756692 3.5182414 35.68918 21.268707
2011-08-29 0.47421053 4.5839863 35.687687 21.263973
2011-08-30 0.484451 4.5370045 35.684437 21.25403
2011-08-31 0.4617905 5.3362293 35.6812 21.26479
2011-09-01 0.43518466 6.557664 35.683712 21.260424
2011-09-02 0.38491887 8.209566 35.681793 21.22728
2011-09-03 0.33976734 10.538426 35.682747 21.176208
2011-09-04 0.2841421 9.157593 35.684467 21.12381
2011-09-05 0.26352718 9.323161 35.686176 21.116367
2011-09-06 0.29671556 8.485576 35.680267 21.147385
2011-09-07 0.31169423 6.828271 35.681244 21.254656
2011-09-08 0.3374473 4.5601254 35.68419 21.337208
2011-09-09 0.37935317 8.702618 35.6722 21.355394
2011-09-10 0.37452704 10.484238 35.682312 21.25472
2011-09-11 0.39032575 5.932653 35.69231 21.17404
2011-09-12 0.36912924 5.830087 35.69566 21.151478
2011-09-13 0.38149852 7.3704643 35.69822 21.131014
2011-09-14 0.36169523 6.108527 35.70016 21.177011
2011-09-15 0.32343584 2.8643873 35.70461 21.319016
2011-09-16 0.302595 2.0163112 35.70723 21.408678
2011-09-17 0.2714172 1.8289381 35.70956 21.44869
2011-09-18 0.21861988 1.5923948 35.71341 21.499126
2011-09-19 0.21201845 3.5881865 35.717583 21.573717
2011-09-20 0.20944443 4.463367 35.72205 21.59569
2011-09-21 0.19601561 3.9230993 35.72775 21.64017
2011-09-22 0.26860648 7.689171 35.73411 21.696564
2011-09-23 0.38159326 5.163282 35.727055 21.840832
2011-09-24 0.4120254 3.470546 35.732834 21.878546
2011-09-25 0.4772371 5.432899 35.73505 21.978678
2011-09-26 0.46291316 8.006505 35.732464 22.069244
2011-09-27 0.49458843 7.011665 35.731018 22.09933
2011-09-28 0.48713776 4.843949 35.72969 22.11423
2011-09-29 0.4728961 7.7088137 35.734055 22.105417
2011-09-30 0.4290447 5.5151744 35.740406 22.10926
2011-10-01 0.41677544 8.886432 35.742027 22.10346
2011-10-02 0.3561681 8.909957 35.75404 21.996235
2011-10-03 0.3344537 7.8602505 35.765762 21.92481
2011-10-04 0.31392452 7.331193 35.770435 21.853575
2011-10-05 0.29321182 5.0065823 35.777164 21.81476
2011-10-06 0.27339074 4.8199244 35.787075 21.83497
2011-10-07 0.3121585 7.246875 35.796127 21.832891
2011-10-08 0.3455515 7.559618 35.798424 21.86294
2011-10-09 0.34559107 4.3300667 35.800125 21.908634
2011-10-10 0.3584319 4.688109 35.802013 21.953167
2011-10-11 0.37434575 2.6257074 35.802742 22.025187
2011-10-12 0.38406172 4.5676847 35.805996 22.01484
2011-10-13 0.363796 7.484053 35.805363 21.995718
2011-10-14 0.33922294 4.4910927 35.796978 21.996353
2011-10-15 0.3404928 7.6946044 35.801674 22.093687
2011-10-16 0.3090252 5.224574 35.790863 22.223919
2011-10-17 0.3742168 10.803318 35.799168 22.230238
2011-10-18 0.39467537 12.719747 35.746742 22.415009
2011-10-19 0.2677009 11.054748 35.72467 22.485888
2011-10-20 0.261832 9.97517 35.727123 22.463358
2011-10-21 0.2997108 8.232718 35.726994 22.471464
2011-10-22 0.3018636 7.767246 35.729717 22.463903
2011-10-23 0.36667624 7.4976993 35.733307 22.44258
2011-10-24 0.41608456 5.299509 35.740242 22.44752
2011-10-25 0.47225624 3.1398249 35.744606 22.43073
2011-10-26 0.4879126 2.9319983 35.749695 22.416067
2011-10-27 0.49844918 4.5429416 35.756916 22.424793
2011-10-28 0.49081263 5.9067097 35.75999 22.443348
2011-10-29 0.46952584 4.3729258 35.759686 22.402555
2011-10-30 0.42558628 3.3276927 35.76068 22.413563
2011-10-31 0.4375677 5.160637 35.76684 22.49178
2011-11-01 0.4577896 9.423506 35.736267 22.726845
2011-11-02 0.430467 4.3412485 35.718002 22.816675
2011-11-03 0.2810482 6.169249 35.757442 22.677631
2011-11-04 0.2674428 4.782557 35.771614 22.724358
2011-11-05 0.27566144 6.377975 35.77526 22.755518
2011-11-06 0.30590647 5.903293 35.781494 22.735159
2011-11-07 0.32544327 5.548447 35.785328 22.82103
2011-11-08 0.36676744 5.7025867 35.788074 22.878517
2011-11-09 0.37365568 4.776312 35.791912 22.957466
2011-11-10 0.3719207 3.894483 35.79416 23.036888
2011-11-11 0.3855457 5.481985 35.798107 23.074593
2011-11-12 0.39184016 5.544268 35.802773 23.168924
2011-11-13 0.36918682 4.9493732 35.8056 23.261402
2011-11-14 0.3740361 4.242844 35.808323 23.40894
2011-11-15 0.35932717 3.4604962 35.810585 23.3988
2011-11-16 0.3604902 5.6310625 35.812668 23.50161
2011-11-17 0.35366762 6.5755343 35.815765 23.518412
2011-11-18 0.33104375 6.3036146 35.818348 23.401474
2011-11-19 0.33145243 6.3219366 35.820297 23.412054
2011-11-20 0.31998828 5.6530924 35.821907 23.42598
2011-11-21 0.34786424 5.744587 35.82276 23.468287
2011-11-22 0.4024448 6.2644796 35.82617 23.464767
2011-11-23 0.4510528 5.817184 35.8271 23.524118
2011-11-24 0.4825836 5.590545 35.82614 23.587976
2011-11-25 0.5101197 5.733175 35.823685 23.646387
2011-11-26 0.50872827 5.018538 35.822594 23.67032
2011-11-27 0.5025896 3.7479012 35.827084 23.795166
2011-11-28 0.49033916 5.378231 35.827724 23.92396
2011-11-29 0.4775998 8.07041 35.828266 23.971884
2011-11-30 0.4250395 5.5540543 35.831577 24.011679
2011-12-01 0.4179339 5.03236 35.831116 24.049152
2011-12-02 0.44902968 12.69912 35.8288 24.095964
2011-12-03 0.42153808 11.814669 35.832203 23.633541
2011-12-04 0.3220061 7.760957 35.8163 23.666002
2011-12-05 0.27186394 8.354964 35.7843 23.743977
2011-12-06 0.36451194 10.783172 35.77283 23.856073
2011-12-07 0.35902506 8.754789 35.69499 24.021048
2011-12-08 0.3669657 8.944846 35.72144 24.11491
2011-12-09 0.3861666 4.905941 35.71914 24.379946
2011-12-10 0.3982156 6.4840474 35.70539 24.476625
2011-12-11 0.37860793 7.347946 35.70566 24.45116
2011-12-12 0.3963401 8.190047 35.68318 24.470179
2011-12-13 0.41943023 6.0538807 35.690453 24.553196
2011-12-14 0.41539034 6.048352 35.68284 24.499083
2011-12-15 0.43722707 7.835975 35.682983 24.438482
2011-12-16 0.43722138 9.093038 35.67374 24.386187
2011-12-17 0.38781786 9.6019335 35.668705 24.338446
2011-12-18 0.29502687 8.782137 35.680565 24.397736
2011-12-19 0.2529711 6.326232 35.690323 24.397308
2011-12-20 0.29148486 4.9303346 35.69414 24.445303
2011-12-21 0.36739692 8.611768 35.698246 24.488863
2011-12-22 0.45582727 11.350294 35.701073 24.425303
2011-12-23 0.5398217 12.833554 35.590473 24.373579
2011-12-24 0.5731877 11.892623 35.61319 24.26627
2011-12-25 0.59868485 11.4614315 35.612984 24.199614
2011-12-26 0.46706602 4.994223 35.612843 24.354504
2011-12-27 0.41437963 4.444163 35.615303 24.424284
2011-12-28 0.46219012 7.442091 35.613438 24.58243
2011-12-29 0.41575122 6.4120455 35.603706 24.692429
2011-12-30 0.36014524 9.306545 35.599953 24.588177
2011-12-31 0.3309773 10.518871 35.60115 24.58797
2012-01-01 0.26623347 9.260846 35.60355 24.663458
2012-01-02 0.18644872 8.861276 35.607048 24.723783
2012-01-03 0.22341168 8.201337 35.615692 24.706957
2012-01-04 0.23324926 6.7297854 35.618523 24.762648
2012-01-05 0.31817445 5.357719 35.62238 24.836084
2012-01-06 0.3442076 4.74199 35.62445 24.922575
2012-01-07 0.36215007 5.834376 35.62804 24.996792
2012-01-08 0.40079504 3.733984 35.633408 25.052317
2012-01-09 0.4122811 6.8573623 35.640724 25.0671
2012-01-10 0.4015197 7.56075 35.642464 25.137093
2012-01-11 0.44932896 8.105885 35.64333 25.217407
2012-01-12 0.47103786 8.202723 35.645416 25.344238
2012-01-13 0.4434097 8.567235 35.652664 25.18411
2012-01-14 0.4054662 7.6900935 35.658054 25.066294
2012-01-15 0.3907784 8.005731 35.632854 24.914291
2012-01-16 0.4821801 14.10287 35.629745 24.693333
2012-01-17 0.3139989 7.515135 35.58458 24.828733
2012-01-18 0.26996338 4.6288805 35.591423 24.837778
2012-01-19 0.41040447 4.2760863 35.59558 24.926315
2012-01-20 0.46907204 7.8099055 35.59607 24.918781
2012-01-21 0.516958 8.268523 35.551136 25.014494
2012-01-22 0.5502126 8.673579 35.506176 25.142538
2012-01-23 0.54263806 7.280226 35.448875 25.296167
2012-01-24 0.54164445 6.312471 35.299187 25.300762
2012-01-25 0.4865478 5.5413 35.28762 25.21646
2012-01-26 0.44108763 4.9928327 35.341732 25.167953
2012-01-27 0.4000096 7.5623584 35.347557 25.273478
2012-01-28 0.3626967 10.647555 35.359623 25.356663
2012-01-29 0.2937353 8.936229 35.388775 25.374815
2012-01-30 0.2189655 7.224075 35.40311 25.400894
2012-01-31 0.21001624 5.781341 35.413578 25.487688
2012-02-01 0.17848368 7.3625813 35.41327 25.626745
2012-02-02 0.2571486 8.456447 35.414368 25.6917
2012-02-03 0.31684923 7.0443397 35.422054 25.703203
2012-02-04 0.36869064 6.6119676 35.431576 25.705902
2012-02-05 0.42646593 5.236618 35.436398 25.729752
2012-02-06 0.452831 2.5962963 35.436844 25.80787
2012-02-07 0.48384467 3.0121207 35.4412 25.8344
2012-02-08 0.49226633 3.9689128 35.442802 25.879246
2012-02-09 0.5012311 6.7062607 35.43668 25.968742
2012-02-10 0.5039164 7.285054 35.438255 26.05877
2012-02-11 0.4567448 3.5938962 35.434525 26.079329
2012-02-12 0.41093215 3.1189704 35.436512 26.169731
2012-02-13 0.32099444 4.2003303 35.43817 26.483248
2012-02-14 0.33216918 7.3950367 35.434067 26.69829
2012-02-15 0.346575 10.157205 35.442997 26.438196
2012-02-16 0.36559606 9.701968 35.44845 26.276447
2012-02-17 0.43551844 9.549438 35.449066 26.37022
2012-02-18 0.4327087 7.5024643 35.44474 26.352915
2012-02-19 0.45915794 6.4050455 35.435863 26.289837
