chlorophyll,current_speed,resident_detections,total_detections
0.69288397,0.2874232,414.0,420.0
0.663756,0.32413727,456.0,466.0
0.55974686,0.30696213,63.0,701.0
0.55974686,0.30696213,633.0,701.0
0.59190613,0.36795273,398.0,1129.0
0.59190613,0.36795273,730.0,1129.0
0.43692055,0.34026158,397.0,1105.0
0.43692055,0.34026158,693.0,1105.0
0.5126742,0.34775275,209.0,911.0
0.5126742,0.34775275,699.0,911.0
0.668717,0.37926245,15.0,609.0
0.668717,0.37926245,593.0,609.0
0.7328485,0.35352492,111.0,913.0
0.7328485,0.35352492,757.0,913.0
0.54651713,0.3369908,196.0,1019.0
0.54651713,0.3369908,745.0,1019.0
0.6390464,0.30098122,168.0,854.0
0.6390464,0.30098122,660.0,854.0
0.62768424,0.28088507,79.0,633.0
0.62768424,0.28088507,549.0,633.0
0.7350407,0.2617259,108.0,724.0
0.7350407,0.2617259,613.0,724.0
0.52031434,0.26042336,115.0,777.0
0.52031434,0.26042336,626.0,777.0
0.46379158,0.2791337,185.0,717.0
0.46379158,0.2791337,454.0,717.0
0.5195502,0.26871312,288.0,823.0
0.5195502,0.26871312,532.0,823.0
0.44071257,0.3058497,290.0,888.0
0.44071257,0.3058497,598.0,888.0
0.42983904,0.22706805,271.0,1014.0
0.42983904,0.22706805,717.0,1014.0
0.50579816,0.28912517,169.0,821.0
0.50579816,0.28912517,651.0,821.0
0.66681767,0.39464176,15.0,668.0
0.66681767,0.39464176,652.0,668.0
0.7449118,0.35222882,19.0,731.0
0.7449118,0.35222882,652.0,731.0
0.8047749,0.37302965,6.0,619.0
0.8047749,0.37302965,544.0,619.0
0.65453756,0.4134118,18.0,461.0
0.65453756,0.4134118,442.0,461.0
0.9173987,0.4439729,5.0,427.0
0.9173987,0.4439729,419.0,427.0
0.76463276,0.43778878,22.0,718.0
0.76463276,0.43778878,694.0,718.0
0.67167884,0.41058493,36.0,748.0
0.67167884,0.41058493,710.0,748.0
0.6387415,0.39250177,42.0,681.0
0.6387415,0.39250177,636.0,681.0
0.5808661,0.3941591,111.0,684.0
0.5808661,0.3941591,573.0,684.0
0.46742293,0.3347127,183.0,806.0
0.46742293,0.3347127,622.0,806.0
0.41469407,0.29035413,164.0,831.0
0.41469407,0.29035413,664.0,831.0
0.46147692,0.26667732,145.0,842.0
0.46147692,0.26667732,588.0,842.0
0.4317848,0.2773304,152.0,750.0
0.4317848,0.2773304,584.0,750.0
0.47248372,0.28807873,174.0,732.0
0.47248372,0.28807873,537.0,732.0
0.45591772,0.32320634,154.0,832.0
0.45591772,0.32320634,676.0,832.0
0.4611252,0.33357316,203.0,962.0
0.4611252,0.33357316,758.0,962.0
0.50300086,0.32718605,175.0,865.0
0.50300086,0.32718605,687.0,865.0
0.54927146,0.32866165,14.0,491.0
0.54927146,0.32866165,474.0,491.0
0.587986,0.33391,19.0,528.0
0.587986,0.33391,506.0,528.0
0.6300628,0.32705596,18.0,594.0
0.6300628,0.32705596,463.0,594.0
0.4632852,0.32152683,32.0,797.0
0.4632852,0.32152683,627.0,797.0
0.75980014,0.3172422,45.0,782.0
0.75980014,0.3172422,645.0,782.0
0.88102806,0.3050717,28.0,674.0
0.88102806,0.3050717,565.0,674.0
0.8911748,0.27210474,6.0,657.0
0.8911748,0.27210474,617.0,657.0
0.85708916,0.28451055,13.0,664.0
0.85708916,0.28451055,649.0,664.0
0.8198272,0.3075916,114.0,640.0
0.8198272,0.3075916,523.0,640.0
0.57797295,0.28658986,107.0,715.0
0.57797295,0.28658986,566.0,715.0
0.5221711,0.28723082,132.0,751.0
0.5221711,0.28723082,438.0,751.0
0.7748308,0.26685008,174.0,635.0
0.7748308,0.26685008,440.0,635.0
0.7790216,0.30435833,228.0,608.0
0.7790216,0.30435833,377.0,608.0
0.78162944,0.3542502,302.0,504.0
0.78162944,0.3542502,199.0,504.0
0.5776589,0.37335166,389.0,679.0
0.5776589,0.37335166,289.0,679.0
0.6070389,0.40749174,81.0,473.0
0.6070389,0.40749174,391.0,473.0
0.5438627,0.42275774,12.0,537.0
0.5438627,0.42275774,521.0,537.0
0.6939534,0.42694485,22.0,528.0
0.6939534,0.42694485,503.0,528.0
0.62316585,0.41668725,600.0,600.0
0.44056925,0.39302742,716.0,716.0
0.36296996,0.3666144,734.0,746.0
