time,current_speed
2012-08-03,0.39806974
2012-08-04,0.40440246
2012-08-05,0.40782928
2012-08-06,0.4164807
2012-08-07,0.4206659
2012-08-08,0.39051938
2012-08-09,0.35958678
2012-08-10,0.3140671
2012-08-11,0.2665997
2012-08-12,0.2788667
2012-08-13,0.28601438
2012-08-14,0.28901976
2012-08-15,0.30584237
2012-08-16,0.35060805
2012-08-17,0.33511284
2012-08-18,0.34087348
2012-08-19,0.34715796
2012-08-20,0.3463804
2012-08-21,0.34967378
2012-08-22,0.3261947
2012-08-23,0.33057386
2012-08-24,0.26721737
2012-08-25,0.25663906
2012-08-26,0.25864762
2012-08-27,0.29732698
2012-08-28,0.291295
2012-08-29,0.34264952
2012-08-30,0.34055322
2012-08-31,0.36984372
2012-09-01,0.38644063
2012-09-02,0.4006499
2012-09-03,0.40848416
2012-09-04,0.40552223
2012-09-05,0.39083445
2012-09-06,0.40976518
2012-09-07,0.40183032
2012-09-08,0.33820114
2012-09-09,0.2901098
2012-09-10,0.25265914
2012-09-11,0.27450138
2012-09-12,0.3124639
2012-09-13,0.29646754
2012-09-14,0.30004972
2012-09-15,0.29650486
2012-09-16,0.3070344
2012-09-17,0.32044482
2012-09-18,0.33595392
2012-09-19,0.3498485
2012-09-20,0.34260446
2012-09-21,0.316499
2012-09-22,0.32879367
2012-09-23,0.3841355
2012-09-24,0.33027756
2012-09-25,0.2768566
2012-09-26,0.27761942
2012-09-27,0.30237174
2012-09-28,0.32428563
2012-09-29,0.36555925
2012-09-30,0.39193135
2012-10-01,0.40897813
2012-10-02,0.42644322
2012-10-03,0.4154056
2012-10-04,0.40256333
2012-10-05,0.42336807
2012-10-06,0.37155506
2012-10-07,0.30267283
2012-10-08,0.2607814
2012-10-09,0.24907643
2012-10-10,0.27897274
2012-10-11,0.27673
2012-10-12,0.28098887
2012-10-13,0.32240438
2012-10-14,0.26435703
2012-10-15,0.28885174
2012-10-16,0.3423389
2012-10-17,0.33299416
2012-10-18,0.3477499
2012-10-19,0.3617009
2012-10-20,0.37213814
2012-10-21,0.4357894
2012-10-22,0.36961132
2012-10-23,0.32942626
2012-10-24,0.26536244
2012-10-25,0.26020974
2012-10-26,0.29437393
2012-10-27,0.30864754
2012-10-28,0.3427537
2012-10-29,0.3726403
2012-10-30,0.39995608
2012-10-31,0.4270438
2012-11-01,0.41180187
2012-11-02,0.41236746
2012-11-03,0.37270755
2012-11-04,0.33255082
2012-11-05,0.3010632
2012-11-06,0.25643125
2012-11-07,0.24627659
2012-11-08,0.2754081
2012-11-09,0.23359074
2012-11-10,0.26085955
2012-11-11,0.24387527
2012-11-12,0.33202773
2012-11-13,0.35746354
2012-11-14,0.31806546
2012-11-15,0.3336817
2012-11-16,0.3604481
2012-11-17,0.38347858
2012-11-18,0.38674355
2012-11-19,0.3770966
2012-11-20,0.35101846
2012-11-21,0.31951824
2012-11-22,0.3123331
2012-11-23,0.31193125
2012-11-24,0.27966136
2012-11-25,0.30342165
2012-11-26,0.3179835
2012-11-27,0.36211288
2012-11-28,0.3856227
2012-11-29,0.39033175
2012-11-30,0.39003235
2012-12-01,0.38381767
2012-12-02,0.36831456
2012-12-03,0.32898787
2012-12-04,0.274315
2012-12-05,0.22293106
2012-12-06,0.2145341
2012-12-07,0.2548455
2012-12-08,0.18869257
2012-12-09,0.2102484
2012-12-10,0.20657365
2012-12-11,0.25255916
2012-12-12,0.28661332
2012-12-13,0.33073008
2012-12-14,0.35136843
2012-12-15,0.39245772
2012-12-16,0.40865725
2012-12-17,0.40387174
2012-12-18,0.3940786
2012-12-19,0.372501
2012-12-20,0.33564407
2012-12-21,0.31107706
2012-12-22,0.29095232
2012-12-23,0.2847185
2012-12-24,0.3078236
2012-12-25,0.30596834
2012-12-26,0.36234468
2012-12-27,0.38378403
2012-12-28,0.39021033
2012-12-29,0.37998268
2012-12-30,0.37193727
2012-12-31,0.3490997
2013-01-01,0.32773757
2013-01-02,0.2778959
2013-01-03,0.25247175
2013-01-04,0.29675746
2013-01-05,0.31711745
2013-01-06,0.24754018
2013-01-07,0.25152874
2013-01-08,0.24883
2013-01-09,0.30684716
2013-01-10,0.2967345
2013-01-11,0.31775445
2013-01-12,0.36779547
2013-01-13,0.4033672
2013-01-14,0.41736072
2013-01-15,0.42384487
2013-01-16,0.4103938
2013-01-17,0.38995957
2013-01-18,0.3653518
2013-01-19,0.348818
2013-01-20,0.32365185
2013-01-21,0.28720415
2013-01-22,0.29979315
2013-01-23,0.35270745
2013-01-24,0.34619743
2013-01-25,0.33925068
2013-01-26,0.34270954
2013-01-27,0.3562215
2013-01-28,0.36612028
2013-01-29,0.3349852
2013-01-30,0.32896602
2013-01-31,0.3028013
2013-02-01,0.27702916
2013-02-02,0.29670462
2013-02-03,0.26259446
2013-02-04,0.25788337
2013-02-05,0.25148782
2013-02-06,0.2484915
2013-02-07,0.298505
2013-02-08,0.33292913
2013-02-09,0.37295908
2013-02-10,0.38778883
2013-02-11,0.44236517
2013-02-12,0.4329594
2013-02-13,0.4301053
2013-02-14,0.43056923
2013-02-15,0.41703343
2013-02-16,0.4119687
2013-02-17,0.40328586
2013-02-18,0.37851596
2013-02-19,0.29968148
2013-02-20,0.34268415
2013-02-21,0.32277006
2013-02-22,0.32516146
2013-02-23,0.3310016
2013-02-24,0.34110665
2013-02-25,0.34415787
2013-02-26,0.35259724
2013-02-27,0.3689889
2013-02-28,0.41234913
2013-03-01,0.3789534
2013-03-02,0.36357713
2013-03-03,0.37036735
2013-03-04,0.36310816
2013-03-05,0.32192162
2013-03-06,0.22718772
2013-03-07,0.25656718
2013-03-08,0.30022687
2013-03-09,0.30668494
2013-03-10,0.34659183
2013-03-11,0.42015806
2013-03-12,0.4475376
2013-03-13,0.48710346
2013-03-14,0.4884397
2013-03-15,0.47153836
2013-03-16,0.42801934
2013-03-17,0.39477152
2013-03-18,0.37014285
2013-03-19,0.32803595
2013-03-20,0.29415116
2013-03-21,0.24613474
2013-03-22,0.2282665
2013-03-23,0.23504752
2013-03-24,0.2576381
2013-03-25,0.30081534
2013-03-26,0.36452383
