date,current,wind,salinity,temperature,u,v
2011-12-09,0.3861666,4.905941,35.71914,24.379946,-0.11149264,-0.054943655
2011-12-10,0.3982156,6.4840474,35.70539,24.476625,0.0155966235,-0.14169787
2011-12-11,0.37860793,7.347946,35.70566,24.45116,0.031626426,-0.11991407
2011-12-12,0.3963401,8.190047,35.68318,24.470179,0.12071445,-0.11206688
2011-12-13,0.41943023,6.0538807,35.690453,24.553196,-0.06816814,0.043681446
2011-12-14,0.41539034,6.048352,35.68284,24.499083,-0.119664714,-0.0044141524
2011-12-15,0.43722707,7.835975,35.682983,24.438482,-0.13657501,0.025738355
2011-12-16,0.43722138,9.093038,35.67374,24.386187,-0.25624263,0.09427797
2011-12-17,0.38781786,9.6019335,35.668705,24.338446,-0.25411162,0.0840185
2011-12-18,0.29502687,8.782137,35.680565,24.397736,-0.12871505,0.014386093
2011-12-19,0.2529711,6.326232,35.690323,24.397308,-0.03161222,-0.00016165247
2011-12-20,0.29148486,4.9303346,35.69414,24.445303,-0.011386576,0.03635051
2011-12-21,0.36739692,8.611768,35.698246,24.488863,-0.09356984,0.05196689
2011-12-22,0.45582727,11.350294,35.701073,24.425303,-0.107604116,0.06659436
2011-12-23,0.5398217,12.833554,35.590473,24.373579,-0.22296235,0.17381269
2011-12-24,0.5731877,11.892623,35.61319,24.26627,-0.18501027,0.18623579
2011-12-25,0.59868485,11.4614315,35.612984,24.199614,-0.25149643,0.23173398
2011-12-26,0.46706602,4.994223,35.612843,24.354504,-0.070242904,0.012067269
2011-12-27,0.41437963,4.444163,35.615303,24.424284,0.0649527,-0.0058673844
2011-12-28,0.46219012,7.442091,35.613438,24.58243,-0.058678925,0.097176775
2011-12-29,0.41575122,6.4120455,35.603706,24.692429,-0.2116114,0.11745853
2011-12-30,0.36014524,9.306545,35.599953,24.588177,-0.17663087,0.09907045
2011-12-31,0.3309773,10.518871,35.60115,24.58797,-0.21579848,0.12459815
2012-01-01,0.26623347,9.260846,35.60355,24.663458,-0.18152675,0.105537064
2012-01-02,0.18644872,8.861276,35.607048,24.723783,-0.11619722,0.032401837
2012-01-03,0.22341168,8.201337,35.615692,24.706957,-0.0015048706,0.029806528
2012-01-04,0.23324926,6.7297854,35.618523,24.762648,-0.048216507,0.03407084
